Mod:Item:MetaData, Localized Name
Thaumcraft:ItemHelmetCultistLeaderPlate, Crimson Praetor Helm
Thaumcraft:ItemChestplateCultistLeaderPlate, Crimson Praetor Chestplate
Thaumcraft:ItemLeggingsCultistLeaderPlate, Crimson Praetor Greaves
Thaumcraft:ItemSwordCrimson, Crimson Blade
Thaumcraft:ItemLootBag:0, Common Treasure
Thaumcraft:ItemLootBag:1, Uncommon Treasure
Thaumcraft:ItemLootBag:2, Rare Treasure
Thaumcraft:ItemCompassStone:0, Sinister Lodestone
Thaumcraft:ItemPrimalCrusher, Primal Crusher
betterstorage:key, Key
betterstorage:lock, Lock
betterstorage:keyring, Keyring
betterstorage:cardboardSheet, Cardboard Sheet
betterstorage:masterKey, Master Key
betterstorage:drinkingHelmet, Drinking Helmet
betterstorage:bucketSlime, Slime in a Bucket
betterstorage:presentBook, item.betterstorage.presentBook.name
betterstorage:backpack, Backpack
betterstorage:enderBackpack, Ender Backpack
betterstorage:cardboardHelmet, Cardboard Helmet
betterstorage:cardboardChestplate, Cardboard Chestplate
betterstorage:cardboardLeggings, Cardboard Leggings
betterstorage:cardboardBoots, Cardboard Boots
betterstorage:cardboardSword, Cardboard Sword
betterstorage:cardboardPickaxe, Cardboard Pickaxe
betterstorage:cardboardShovel, Cardboard Shovel
betterstorage:cardboardAxe, Cardboard Axe
betterstorage:cardboardHoe, Cardboard Hoe
betterstorage:thaumcraftBackpack, Thaumaturge's Backpack
BiblioCraft:item.StockroomCatalog, Stockroom Catalog
BiblioCraft:item.PlumbLine, Plumb line
BiblioCraft:item.FramingSaw, Framing Saw
BiblioCraft:item.FramingBoard, Framing Board
BiblioCraft:item.FramingSheet, Framing Sheet
BiblioCraft:item.TesterItem, ItemStack Name Tester
BiblioCraft:item.AtlasBook:0, Atlas
BiblioCraft:item.AtlasPlate, Atlas Plate
BiblioCraft:item.DeathCompass, Eternal Compass
BiblioCraft:item.PaintingCanvas, Painting Canvas
BiblioCraft:item.BigBook, Big Writing Book
BiblioCraft:item.RecipeBook, Empty Recipe Book
BiblioCraft:item.SlottedBook, Slotted Book
BiblioCraft:item.HandDrill, Hand Drill
BiblioCraft:item.tapeMeasure, Tape Measure
BiblioCraft:item.tape, Tape Measure Reel
BiblioCraft:item.BiblioChase, Print Press Chase
BiblioCraft:item.PrintPlate, Print Press Plate
BiblioCraft:item.EnchantedPlate, Enchanted Plate
BiblioCraft:item.BiblioRedBook, Redstone: Volume I
BiblioCraft:item.BiblioGlasses:0, Reading Glasses
BiblioCraft:item.BiblioGlasses:1, Tinted Glasses
BiblioCraft:item.BiblioGlasses:2, Monocle
BiblioCraft:item.BiblioDrill, Screw Gun
BiblioCraft:item.BiblioCreativeLock, Lock and Key
BiblioCraft:item.BiblioClipboard, Clipboard
BiblioCraft:item.seatBack:0, Oak Seat Back
BiblioCraft:item.seatBack:1, Spruce Seat Back
BiblioCraft:item.seatBack:2, Birch Seat Back
BiblioCraft:item.seatBack:3, Jungle Seat Back
BiblioCraft:item.seatBack:4, Acacia Seat Back
BiblioCraft:item.seatBack:5, Dark Oak Seat Back
BiblioCraft:item.seatBack:6, Framed Seat Back
BiblioCraft:item.seatBack2:0, Oak Seat Back
BiblioCraft:item.seatBack2:1, Spruce Seat Back
BiblioCraft:item.seatBack2:2, Birch Seat Back
BiblioCraft:item.seatBack2:3, Jungle Seat Back
BiblioCraft:item.seatBack2:4, Acacia Seat Back
BiblioCraft:item.seatBack2:5, Dark Oak Seat Back
BiblioCraft:item.seatBack2:6, Framed Seat Back
BiblioCraft:item.seatBack3:0, Oak Seat Back
BiblioCraft:item.seatBack3:1, Spruce Seat Back
BiblioCraft:item.seatBack3:2, Birch Seat Back
BiblioCraft:item.seatBack3:3, Jungle Seat Back
BiblioCraft:item.seatBack3:4, Acacia Seat Back
BiblioCraft:item.seatBack3:5, Dark Oak Seat Back
BiblioCraft:item.seatBack3:6, Framed Seat Back
BiblioCraft:item.seatBack4:0, Oak Seat Back
BiblioCraft:item.seatBack4:1, Spruce Seat Back
BiblioCraft:item.seatBack4:2, Birch Seat Back
BiblioCraft:item.seatBack4:3, Jungle Seat Back
BiblioCraft:item.seatBack4:4, Acacia Seat Back
BiblioCraft:item.seatBack4:5, Dark Oak Seat Back
BiblioCraft:item.seatBack4:6, Framed Seat Back
BiblioCraft:item.seatBack5:0, Oak Seat Back
BiblioCraft:item.seatBack5:1, Spruce Seat Back
BiblioCraft:item.seatBack5:2, Birch Seat Back
BiblioCraft:item.seatBack5:3, Jungle Seat Back
BiblioCraft:item.seatBack5:4, Acacia Seat Back
BiblioCraft:item.seatBack5:5, Dark Oak Seat Back
BiblioCraft:item.seatBack5:6, Framed Seat Back
BiblioCraft:item.BiblioMapTool, Drafting Compass
BiblioCraft:item.BiblioWayPointCompass, Waypoint Compass
Mantle:mantleBook:0, Mantle:item.mantle.manual.beginner.name
Mantle:mantleBook:1, Mantle:item.mantle.manual.toolstation.name
Mantle:mantleBook:2, Mantle:item.mantle.manual.smeltery.name
Mantle:mantleBook:3, Mantle:item.mantle.manual.diary.name
Natura:natura.spawnegg:0, Spawn Imp
Natura:natura.spawnegg:1, Spawn Heatscar Spider
Natura:natura.spawnegg:2, Spawn Nitro Creeper
Natura:natura.spawnegg:3, Spawn Baby Heatscar Spider
Natura:barleyFood:0, Barley
Natura:barleyFood:1, Barley Flour
Natura:barleyFood:2, Wheat Flour
Natura:barleyFood:3, Cotton
Natura:barleyFood:4, Sulfur
Natura:barleyFood:5, Ghostwood Fletching
Natura:barleyFood:6, Imp Leather
Natura:barleyFood:7, Flamestring
Natura:barleyFood:8, Blue Dye
Natura:barley.seed:0, Barley Seeds
Natura:barley.seed:1, Cotton Seeds
Natura:waterdrop, Cactus Juice
Natura:wheatBag, Wheat Seed Bag
Natura:barleyBag, Barley Seed Bag
Natura:potatoBag, Potato Bag
Natura:carrotBag, Carrot Bag
Natura:wartBag, Nether Wart Bag
Natura:cottonBag, Cotton Seed Bag
Natura:boneBag, Bonemeal Bag
Natura:berry.nether:0, Blightberry
Natura:berry.nether:1, Duskberry
Natura:berry.nether:2, Skyberry
Natura:berry.nether:3, Stingberry
Natura:berry:0, Raspberry
Natura:berry:1, Blueberry
Natura:berry:2, Blackberry
Natura:berry:3, Maloberry
Natura:berryMedley:0, Berry Medley
Natura:saguaro.fruit, Saguaro Fruit
Natura:redwoodDoorItem:0, Redwood Door
Natura:redwoodDoorItem:1, Eucalyptus Door
Natura:redwoodDoorItem:2, Hopseed Door
Natura:redwoodDoorItem:3, Sakura Door
Natura:redwoodDoorItem:4, Ghostwood Door
Natura:redwoodDoorItem:5, Bloodwood Door
Natura:redwoodDoorItem:6, Redwood Bark Door
Natura:Natura.netherfood:0, Potash Apple
Natura:natura.stick:0, Stick
Natura:natura.stick:1, Stick
Natura:natura.stick:2, Stick
Natura:natura.stick:3, Stick
Natura:natura.stick:4, Stick
Natura:natura.stick:5, Stick
Natura:natura.stick:6, Stick
Natura:natura.stick:7, Stick
Natura:natura.stick:8, Stick
Natura:natura.stick:9, Stick
Natura:natura.stick:10, Stick
Natura:natura.stick:11, Stick
Natura:natura.stick:12, Stick
Natura:natura.sword.ghostwood, Ghostwood Sword
Natura:natura.pickaxe.ghostwood, Ghostwood Pickaxe
Natura:natura.shovel.ghostwood, Ghostwood Shovel
Natura:natura.axe.ghostwood, Ghostwood Hatchet
Natura:natura.sword.bloodwood, Bloodwood Sword
Natura:natura.pickaxe.bloodwood, Bloodwood Pickaxe
Natura:natura.shovel.bloodwood, Bloodwood Shovel
Natura:natura.axe.bloodwood, Bloodwood Hatchet
Natura:natura.sword.darkwood, Darkwood Sword
Natura:natura.pickaxe.darkwood, Darkwood Pickaxe
Natura:natura.shovel.darkwood, Darkwood Shovel
Natura:natura.axe.darkwood, Darkwood Hatchet
Natura:natura.sword.fusewood, Fusewood Sword
Natura:natura.pickaxe.fusewood, Fusewood Pickaxe
Natura:natura.shovel.fusewood, Fusewood Shovel
Natura:natura.axe.fusewood, Fusewood Hatchet
Natura:natura.sword.netherquartz, Quartz Sword
Natura:natura.pickaxe.netherquartz, Quartz Pickaxe
Natura:natura.shovel.netherquartz, Quartz Shovel
Natura:natura.axe.netherquartz, Quartz Hatchet
Natura:natura.kama.netherquartz, Quartz Kama
Natura:natura.kama.ghostwood, Ghostwood Kama
Natura:natura.kama.bloodwood, Bloodwood Kama
Natura:natura.kama.darkwood, Darkwood Kama
Natura:natura.kama.fusewood, Fusewood Kama
Natura:natura.bow.ghostwood, Ghostwood Bow
Natura:natura.bow.bloodwood, Bloodwood Bow
Natura:natura.bow.darkwood, Darkwood Bow
Natura:natura.bow.fusewood, Fusewood Bow
Natura:natura.armor.imphelmet, Impskin Helmet
Natura:natura.armor.impjerkin, Impskin Jerkin
Natura:natura.armor.impleggings, Impskin Leggings
Natura:natura.armor.impboots, Impskin Boots
Natura:natura.flintandblaze, Flint and Blaze
Natura:impmeat:0, Raw Imphide
Natura:impmeat:1, Cooked Imphide
Natura:natura.emptybowl, item.natura.emptybowl.name
Natura:natura.stewbowl, item.natura.stewbowl.name
BiomesOPlenty:food:0, Berry
BiomesOPlenty:food:1, Shroom Powder
BiomesOPlenty:food:2, Wild Carrots
BiomesOPlenty:food:3, Peach
BiomesOPlenty:food:4, Fruit Salad
BiomesOPlenty:food:5, Veggie Salad
BiomesOPlenty:food:6, Shroom Salad
BiomesOPlenty:food:8, Persimmon
BiomesOPlenty:food:9, Filled Honeycomb
BiomesOPlenty:food:10, Ambrosia
BiomesOPlenty:food:11, Turnip
BiomesOPlenty:food:12, Pear
BiomesOPlenty:food:13, Bowl of Rice
BiomesOPlenty:turnipSeeds, Turnip Seeds
BiomesOPlenty:misc:0, Mud Brick
BiomesOPlenty:misc:1, Pile of Ashes
BiomesOPlenty:misc:2, Empty Honeycomb
BiomesOPlenty:misc:3, Chunk of Flesh
BiomesOPlenty:misc:4, Celestial Crystal Shard
BiomesOPlenty:misc:5, Blue Dye
BiomesOPlenty:misc:6, Brown Dye
BiomesOPlenty:misc:7, Green Dye
BiomesOPlenty:misc:8, White Dye
BiomesOPlenty:misc:9, Black Dye
BiomesOPlenty:misc:10, Ghastly Soul
BiomesOPlenty:misc:11, Pixie Dust
BiomesOPlenty:misc:12, Ichor
BiomesOPlenty:misc:13, Pinecone
BiomesOPlenty:gems:0, Ender Amethyst
BiomesOPlenty:gems:1, Ruby
BiomesOPlenty:gems:2, Peridot
BiomesOPlenty:gems:3, Topaz
BiomesOPlenty:gems:4, Tanzanite
BiomesOPlenty:gems:5, Malachite
BiomesOPlenty:gems:6, Sapphire
BiomesOPlenty:gems:7, Amber
BiomesOPlenty:mudball, Mud Ball
BiomesOPlenty:jarEmpty, Empty Jar
BiomesOPlenty:jarFilled:0, Honey Jar
BiomesOPlenty:jarFilled:1, Poison Extract Jar
BiomesOPlenty:jarFilled:2, Pixie Jar
BiomesOPlenty:dartBlower, Dart Blower
BiomesOPlenty:dart:0, Dart
BiomesOPlenty:dart:1, Poison Dart
BiomesOPlenty:ancientStaff:0, Ancient Staff
BiomesOPlenty:ancientStaff:1, Ancient Staff Handle
BiomesOPlenty:ancientStaff:2, Ancient Staff Pole
BiomesOPlenty:ancientStaff:3, Ancient Staff Topper
BiomesOPlenty:ancientStaff:4, Depleted Ancient Staff
BiomesOPlenty:enderporter, Enderporter
BiomesOPlenty:bopBucket, item.bopBucket.name
BiomesOPlenty:record_wanderer, Music Disc
BiomesOPlenty:record_corruption, Music Disc
BiomesOPlenty:biomeFinder, Biome Radar
BiomesOPlenty:biomeEssence, Biome Essence
BiomesOPlenty:swordMud, Muddy Sword
BiomesOPlenty:shovelMud, Muddy Shovel
BiomesOPlenty:pickaxeMud, Muddy Pickaxe
BiomesOPlenty:axeMud, Muddy Axe
BiomesOPlenty:hoeMud, Muddy Hoe
BiomesOPlenty:swordAmethyst, Amethyst Sword
BiomesOPlenty:shovelAmethyst, Amethyst Shovel
BiomesOPlenty:pickaxeAmethyst, Amethyst Pickaxe
BiomesOPlenty:axeAmethyst, Amethyst Axe
BiomesOPlenty:hoeAmethyst, Amethyst Hoe
BiomesOPlenty:scytheWood, Wooden Scythe
BiomesOPlenty:scytheStone, Stone Scythe
BiomesOPlenty:scytheIron, Iron Scythe
BiomesOPlenty:scytheGold, Gold Scythe
BiomesOPlenty:scytheDiamond, Diamond Scythe
BiomesOPlenty:scytheMud, Mud Scythe
BiomesOPlenty:scytheAmethyst, Amethyst Scythe
BiomesOPlenty:helmetMud, Muddy Helmet
BiomesOPlenty:chestplateMud, Muddy Chestplate
BiomesOPlenty:leggingsMud, Muddy Leggings
BiomesOPlenty:bootsMud, Muddy Boots
BiomesOPlenty:helmetAmethyst, Amethyst Helmet
BiomesOPlenty:chestplateAmethyst, Amethyst Chestplate
BiomesOPlenty:leggingsAmethyst, Amethyst Leggings
BiomesOPlenty:bootsAmethyst, Amethyst Boots
BiomesOPlenty:flowerBand:0, Dull Flower Band
BiomesOPlenty:flowerBand:1, Plain Flower Band
BiomesOPlenty:flowerBand:2, Lush Flower Band
BiomesOPlenty:flowerBand:3, Exotic Flower Band
BiomesOPlenty:flippers, Flippers
BiomesOPlenty:wadingBoots, Wading Boots
BiblioWoodsBoP:seatBack1:0, Sacred Oak Seat Back
BiblioWoodsBoP:seatBack1:1, Cherry Seat Back
BiblioWoodsBoP:seatBack1:2, Dark Seat Back
BiblioWoodsBoP:seatBack1:3, Fir Seat Back
BiblioWoodsBoP:seatBack1:4, Hellbark Seat Back
BiblioWoodsBoP:seatBack1:5, Ethereal Seat Back
BiblioWoodsBoP:seatBack1:6, Jacaranda Seat Back
BiblioWoodsBoP:seatBack1:7, Magic Seat Back
BiblioWoodsBoP:seatBack1:8, Mangrove Seat Back
BiblioWoodsBoP:seatBack1:9, Palm Seat Back
BiblioWoodsBoP:seatBack1:10, Pine Seat Back
BiblioWoodsBoP:seatBack1:11, Redwood Seat Back
BiblioWoodsBoP:seatBack1:12, Willow Seat Back
BiblioWoodsBoP:seatBack1:13, Mahogany Seat Back
BiblioWoodsBoP:seatBack2:0, Sacred Oak Seat Back
BiblioWoodsBoP:seatBack2:1, Cherry Seat Back
BiblioWoodsBoP:seatBack2:2, Dark Seat Back
BiblioWoodsBoP:seatBack2:3, Fir Seat Back
BiblioWoodsBoP:seatBack2:4, Hellbark Seat Back
BiblioWoodsBoP:seatBack2:5, Ethereal Seat Back
BiblioWoodsBoP:seatBack2:6, Jacaranda Seat Back
BiblioWoodsBoP:seatBack2:7, Magic Seat Back
BiblioWoodsBoP:seatBack2:8, Mangrove Seat Back
BiblioWoodsBoP:seatBack2:9, Palm Seat Back
BiblioWoodsBoP:seatBack2:10, Pine Seat Back
BiblioWoodsBoP:seatBack2:11, Redwood Seat Back
BiblioWoodsBoP:seatBack2:12, Willow Seat Back
BiblioWoodsBoP:seatBack2:13, Mahogany Seat Back
BiblioWoodsBoP:seatBack3:0, Sacred Oak Seat Back
BiblioWoodsBoP:seatBack3:1, Cherry Seat Back
BiblioWoodsBoP:seatBack3:2, Dark Seat Back
BiblioWoodsBoP:seatBack3:3, Fir Seat Back
BiblioWoodsBoP:seatBack3:4, Hellbark Seat Back
BiblioWoodsBoP:seatBack3:5, Ethereal Seat Back
BiblioWoodsBoP:seatBack3:6, Jacaranda Seat Back
BiblioWoodsBoP:seatBack3:7, Magic Seat Back
BiblioWoodsBoP:seatBack3:8, Mangrove Seat Back
BiblioWoodsBoP:seatBack3:9, Palm Seat Back
BiblioWoodsBoP:seatBack3:10, Pine Seat Back
BiblioWoodsBoP:seatBack3:11, Redwood Seat Back
BiblioWoodsBoP:seatBack3:12, Willow Seat Back
BiblioWoodsBoP:seatBack3:13, Mahogany Seat Back
BiblioWoodsBoP:seatBack4:0, Sacred Oak Seat Back
BiblioWoodsBoP:seatBack4:1, Cherry Seat Back
BiblioWoodsBoP:seatBack4:2, Dark Seat Back
BiblioWoodsBoP:seatBack4:3, Fir Seat Back
BiblioWoodsBoP:seatBack4:4, Hellbark Seat Back
BiblioWoodsBoP:seatBack4:5, Ethereal Seat Back
BiblioWoodsBoP:seatBack4:6, Jacaranda Seat Back
BiblioWoodsBoP:seatBack4:7, Magic Seat Back
BiblioWoodsBoP:seatBack4:8, Mangrove Seat Back
BiblioWoodsBoP:seatBack4:9, Palm Seat Back
BiblioWoodsBoP:seatBack4:10, Pine Seat Back
BiblioWoodsBoP:seatBack4:11, Redwood Seat Back
BiblioWoodsBoP:seatBack4:12, Willow Seat Back
BiblioWoodsBoP:seatBack4:13, Mahogany Seat Back
BiblioWoodsBoP:seatBack5:0, Sacred Oak Seat Back
BiblioWoodsBoP:seatBack5:1, Cherry Seat Back
BiblioWoodsBoP:seatBack5:2, Dark Seat Back
BiblioWoodsBoP:seatBack5:3, Fir Seat Back
BiblioWoodsBoP:seatBack5:4, Hellbark Seat Back
BiblioWoodsBoP:seatBack5:5, Ethereal Seat Back
BiblioWoodsBoP:seatBack5:6, Jacaranda Seat Back
BiblioWoodsBoP:seatBack5:7, Magic Seat Back
BiblioWoodsBoP:seatBack5:8, Mangrove Seat Back
BiblioWoodsBoP:seatBack5:9, Palm Seat Back
BiblioWoodsBoP:seatBack5:10, Pine Seat Back
BiblioWoodsBoP:seatBack5:11, Redwood Seat Back
BiblioWoodsBoP:seatBack5:12, Willow Seat Back
BiblioWoodsBoP:seatBack5:13, Mahogany Seat Back
Forestry:fertilizerBio, Compost
Forestry:fertilizerCompound, Fertilizer
Forestry:apatite, Apatite
Forestry:researchNote, %s's Notes
Forestry:ingotCopper, Copper Ingot
Forestry:ingotTin, Tin Ingot
Forestry:ingotBronze, Bronze Ingot
Forestry:wrench, Wrench
Forestry:pipette, Pipette
Forestry:sturdyMachine, Sturdy Casing
Forestry:hardenedMachine, Hardened Casing
Forestry:impregnatedCasing, Impregnated Casing
Forestry:craftingMaterial:0, Pulsating Dust
Forestry:craftingMaterial:1, Pulsating Mesh
Forestry:craftingMaterial:2, Silk Wisp
Forestry:craftingMaterial:3, Woven Silk
Forestry:craftingMaterial:4, Dissipation Charge
Forestry:craftingMaterial:5, Ice Shard
Forestry:craftingMaterial:6, Scented Paneling
Forestry:naturalistHelmet, Spectacles
Forestry:peat, Peat
Forestry:ash, Ash
Forestry:bituminousPeat, Bituminous Peat
Forestry:gearBronze, Bronze Gear
Forestry:gearCopper, Copper Gear
Forestry:gearTin, Tin Gear
Forestry:chipsets:0, Basic Circuit Board
Forestry:chipsets:1, Enhanced Circuit Board
Forestry:chipsets:2, Refined Circuit Board
Forestry:chipsets:3, Intricate Circuit Board
Forestry:solderingIron, Soldering Iron
Forestry:carton, Carton
Forestry:oakStick, Impregnated Stick
Forestry:woodPulp, Wood Pulp
Forestry:brokenBronzePickaxe, Broken Pickaxe
Forestry:brokenBronzeShovel, Broken Shovel
Forestry:bronzePickaxe, Survivalist's Pickaxe
Forestry:bronzeShovel, Survivalist's Shovel
Forestry:kitShovel, Shovel Kit
Forestry:kitPickaxe, Pickaxe Kit
Forestry:mouldyWheat, Mouldy Wheat
Forestry:decayingWheat, Decaying Wheat
Forestry:mulch, Mulch
Forestry:iodineCapsule, Iodine Capsule
Forestry:phosphor, Phosphor
Forestry:beeswax, Beeswax
Forestry:refractoryWax, Refractory Wax
Forestry:fruits:0, Cherry
Forestry:fruits:1, Walnut
Forestry:fruits:2, Chestnut
Forestry:fruits:3, Lemon
Forestry:fruits:4, Plum
Forestry:fruits:5, Date
Forestry:fruits:6, Papaya
Forestry:canEmpty, Can
Forestry:waxCapsule, Wax Capsule
Forestry:refractoryEmpty, Refractory Capsule
Forestry:canEthanol, Ethanol Can
Forestry:waxCapsuleEthanol, Ethanol Capsule
Forestry:refractoryEthanol, Ethanol Capsule
Forestry:bucketEthanol, Ethanol Bucket
Forestry:canBiomass, Biomass Can
Forestry:waxCapsuleBiomass, Biomass Capsule
Forestry:refractoryBiomass, Biomass Capsule
Forestry:bucketBiomass, Biomass Bucket
Forestry:bucketGlass, Molten Glass Bucket
Forestry:canHoney, Honey Can
Forestry:waxCapsuleHoney, Honey Capsule
Forestry:refractoryHoney, Honey Capsule
Forestry:bucketHoney, Honey Bucket
Forestry:canIce, Ice Can
Forestry:waxCapsuleIce, Ice Capsule
Forestry:refractoryIce, Ice Capsule
Forestry:bucketIce, Crushed Ice Bucket
Forestry:canJuice, Juice Can
Forestry:waxCapsuleJuice, Juice Capsule
Forestry:refractoryJuice, Juice Capsule
Forestry:bucketJuice, Juice Bucket
Forestry:canSeedOil, Seed Oil Can
Forestry:waxCapsuleSeedOil, Seed Oil Capsule
Forestry:refractorySeedOil, Seed Oil Capsule
Forestry:bucketSeedOil, Seed Oil Bucket
Forestry:canShortMead, Short Mead Can
Forestry:waxCapsuleShortMead, Short Mead Capsule
Forestry:refractoryShortMead, Short Mead Capsule
Forestry:bucketShortMead, Short Mead Bucket
Forestry:canMead, Mead Can
Forestry:waxCapsuleMead, Mead Capsule
Forestry:refractoryMead, Mead Capsule
Forestry:bucketMead, Mead Bucket
Forestry:canWater, Water Can
Forestry:waxCapsuleWater, Water Capsule
Forestry:refractoryWater, Water Capsule
Forestry:canLava, Lava Can
Forestry:refractoryLava, Lava Capsule
Forestry:beealyzer, Beealyzer
Forestry:habitatLocator, Habitat Locator
Forestry:imprinter, Imprinter
Forestry:cart.beehouse:0, Minecart with Bee House
Forestry:cart.beehouse:1, Minecart with Apiary
Forestry:frameUntreated, Untreated Frame
Forestry:frameImpregnated, Impregnated Frame
Forestry:frameProven, Proven Frame
Forestry:honeyDrop:0, Honey Drop
Forestry:pollen:0, Pollen Cluster
Forestry:pollen:1, Crystalline Pollen Cluster
Forestry:propolis:0, Propolis
Forestry:propolis:1, Sticky Propolis
Forestry:propolis:3, Silky Propolis
Forestry:honeydew, Honeydew
Forestry:royalJelly, Royal Jelly
Forestry:waxCast, Wax Cast
Forestry:beeCombs:0, Honey Comb
Forestry:beeCombs:2, Simmering Comb
Forestry:beeCombs:3, Stringy Comb
Forestry:beeCombs:4, Frozen Comb
Forestry:beeCombs:5, Dripping Comb
Forestry:beeCombs:6, Silky Comb
Forestry:beeCombs:7, Parched Comb
Forestry:beeCombs:15, Mossy Comb
Forestry:beeCombs:16, Mellow Comb
Forestry:apiaristHelmet, Apiarist's Hat
Forestry:apiaristChest, Apiarist's Shirt
Forestry:apiaristLegs, Apiarist's Pants
Forestry:apiaristBoots, Apiarist's Shoes
Forestry:scoop, Scoop
Forestry:treealyzer, Treealyzer
Forestry:grafter, Grafter
Forestry:grafterProven, Proven Grafter
Forestry:honeyedSlice, Honeyed Slice
Forestry:beverage, item.for.beverage.name
Forestry:ambrosia, Ambrosia
Forestry:honeyPot, Honey Pot
Forestry:infuser, Infuser
Forestry:flutterlyzer, Flutterlyzer
Forestry:stamps:0, Stamp (1n)
Forestry:stamps:1, Stamp (2n)
Forestry:stamps:2, Stamp (5n)
Forestry:stamps:3, Stamp (10n)
Forestry:stamps:4, Stamp (20n)
Forestry:stamps:5, Stamp (50n)
Forestry:stamps:6, Stamp (100n)
Forestry:letters, Letter
Forestry:catalogue, Catalogue
Forestry:crate, Crate
Forestry:apiaristBag, Apiarist's Backpack
Forestry:lepidopteristBag, Lepidopterist's Backpack
Forestry:minerBag, Miner's Backpack
Forestry:minerBagT2, Miner's Woven Backpack
Forestry:diggerBag, Digger's Backpack
Forestry:diggerBagT2, Digger's Woven Backpack
Forestry:foresterBag, Forester's Backpack
Forestry:foresterBagT2, Forester's Woven Backpack
Forestry:hunterBag, Hunter's Backpack
Forestry:hunterBagT2, Hunter's Woven Backpack
Forestry:adventurerBag, Adventurer's Backpack
Forestry:adventurerBagT2, Adventurer's Woven Backpack
Forestry:builderBag, Builder's Backpack
Forestry:builderBagT2, Builder's WovenBackpack
Forestry:cratedPeat, item.cratedPeat.name
Forestry:cratedApatite, item.cratedApatite.name
Forestry:cratedFertilizer, item.cratedFertilizer.name
Forestry:cratedMulch, item.cratedMulch.name
Forestry:cratedPhosphor, item.cratedPhosphor.name
Forestry:cratedAsh, item.cratedAsh.name
Forestry:cratedTin, item.cratedTin.name
Forestry:cratedCopper, item.cratedCopper.name
Forestry:cratedBronze, item.cratedBronze.name
Forestry:cratedHumus, item.cratedHumus.name
Forestry:cratedBogearth, item.cratedBogearth.name
Forestry:cratedWheat, item.cratedWheat.name
Forestry:cratedCookies, item.cratedCookies.name
Forestry:cratedRedstone, item.cratedRedstone.name
Forestry:cratedLapis, item.cratedLapis.name
Forestry:cratedReeds, item.cratedReeds.name
Forestry:cratedClay, item.cratedClay.name
Forestry:cratedGlowstone, item.cratedGlowstone.name
Forestry:cratedApples, item.cratedApples.name
Forestry:cratedNetherwart, item.cratedNetherwart.name
Forestry:cratedCharcoal, item.cratedCharcoal.name
Forestry:cratedCoal, item.cratedCoal.name
Forestry:cratedSeeds, item.cratedSeeds.name
Forestry:cratedPotatoes, item.cratedPotatoes.name
Forestry:cratedCarrots, item.cratedCarrots.name
Forestry:cratedWood, item.cratedWood.name
Forestry:cratedSpruceWood, item.cratedSpruceWood.name
Forestry:cratedBirchWood, item.cratedBirchWood.name
Forestry:cratedJungleWood, item.cratedJungleWood.name
Forestry:cratedAcaciaWood, item.cratedAcaciaWood.name
Forestry:cratedDarkOakWood, item.cratedDarkOakWood.name
Forestry:cratedCobblestone, item.cratedCobblestone.name
Forestry:cratedDirt, item.cratedDirt.name
Forestry:cratedPodzol, item.cratedPodzol.name
Forestry:cratedStone, item.cratedStone.name
Forestry:cratedBrick, item.cratedBrick.name
Forestry:cratedCacti, item.cratedCacti.name
Forestry:cratedSand, item.cratedSand.name
Forestry:cratedRedSand, item.cratedRedSand.name
Forestry:cratedObsidian, item.cratedObsidian.name
Forestry:cratedNetherrack, item.cratedNetherrack.name
Forestry:cratedSoulsand, item.cratedSoulsand.name
Forestry:cratedSandstone, item.cratedSandstone.name
Forestry:cratedNetherbrick, item.cratedNetherbrick.name
Forestry:cratedMycelium, item.cratedMycelium.name
Forestry:cratedGravel, item.cratedGravel.name
Forestry:cratedSaplings, item.cratedSaplings.name
Forestry:cratedSpruceSapling, item.cratedSpruceSapling.name
Forestry:cratedBirchSapling, item.cratedBirchSapling.name
Forestry:cratedJungleSapling, item.cratedJungleSapling.name
Forestry:cratedAcaciaSapling, item.cratedAcaciaSapling.name
Forestry:cratedDarkOakSapling, item.cratedDarkOakSapling.name
Forestry:cratedBeeswax, item.cratedBeeswax.name
Forestry:cratedPollen, item.cratedPollen.name
Forestry:cratedCrystallinePollen, item.cratedCrystallinePollen.name
Forestry:cratedPropolis, item.cratedPropolis.name
Forestry:cratedHoneydew, item.cratedHoneydew.name
Forestry:cratedRoyalJelly, item.cratedRoyalJelly.name
Forestry:cratedHoneycombs, item.cratedHoneycombs.name
Forestry:cratedCocoaComb, item.cratedCocoaComb.name
Forestry:cratedSimmeringCombs, item.cratedSimmeringCombs.name
Forestry:cratedStringyCombs, item.cratedStringyCombs.name
Forestry:cratedFrozenCombs, item.cratedFrozenCombs.name
Forestry:cratedDrippingCombs, item.cratedDrippingCombs.name
Forestry:cratedSilkyCombs, item.cratedSilkyCombs.name
Forestry:cratedParchedCombs, item.cratedParchedCombs.name
Forestry:cratedMysteriousCombs, item.cratedMysteriousCombs.name
Forestry:cratedPowderyCombs, item.cratedPowderyCombs.name
Forestry:cratedWheatenCombs, item.cratedWheatenCombs.name
Forestry:cratedMossyCombs, item.cratedMossyCombs.name
Forestry:cratedMellowCombs, item.cratedMellowCombs.name
Forestry:cratedRefractoryWax, item.cratedRefractoryWax.name
Forestry:cratedCherry, item.cratedCherry.name
Forestry:cratedWalnut, item.cratedWalnut.name
Forestry:cratedChestnut, item.cratedChestnut.name
